Year,State,whf,bhf,aihf,ashf,pihf,wnhf,bnhf,ainhf,asnhf,pinhf,whm,bhm,aihm,ashm,pihm,wnhm,bnhm,ainhm,asnhm,pinhm
2011,New York,1375801,353431,87327,28114,12123,5913865,1615063,68962,844299,12476,1361407,312493,89040,26951,11665,5629448,1390175,62573,783463,11159
2012,New York,1398758,359655,88679,28754,12340,5892079,1620833,69424,870471,12779,1385642,319265,90447,27552,11906,5621273,1399609,63143,806165,11494
2013,New York,1421794,366544,89542,29418,12489,5872483,1630634,69812,898069,13035,1408901,326660,91444,28170,12161,5604719,1411860,63608,829988,11778
2014,New York,1440310,372208,90294,29953,12616,5839021,1638104,70018,924235,13321,1428150,332792,92286,28724,12414,5580154,1422666,63949,853114,12107
2010,North Carolina,320283,38155,23370,5580,2944,3262322,1126482,84875,129833,5894,369899,38544,27335,6049,3474,3111706,992066,78123,119858,5747
2011,North Carolina,330102,39872,24039,6092,3101,3282949,1140869,85912,136538,6116,376354,40078,27834,6557,3532,3127124,1004156,79115,126138,5869
2012,North Carolina,339138,42218,24970,6593,3214,3300113,1154571,86976,143274,6387,382994,42340,28568,7090,3673,3149746,1016492,79912,132716,6203
2013,North Carolina,349404,43905,25537,6883,3329,3317657,1169635,88150,150218,6669,392448,44083,29131,7474,3750,3170299,1030309,80803,139766,6517
2014,North Carolina,359967,45381,26045,7046,3415,3336353,1183500,89067,157195,6902,401461,45383,29707,7643,3796,3188123,1042743,81666,146357,6694
2010,North Dakota,5382,347,980,140,56,301584,4593,21232,4569,343,6262,404,988,138,49,307301,6292,20350,4562,386
2011,North Dakota,5928,360,1152,151,49,304645,5110,21648,4817,369,6922,452,1161,159,50,311455,6997,20750,4865,420
2012,North Dakota,6820,395,1356,187,65,308832,5790,22016,5172,397,8141,504,1394,192,70,318424,8075,21206,5298,455
2013,North Dakota,8057,469,1476,196,81,315094,6794,22470,5627,424,9686,588,1546,210,77,327561,9652,21767,5865,512
2014,North Dakota,9029,564,1542,218,87,319599,7723,22918,5964,461,10802,655,1621,226,107,333365,10964,22279,6207,545
2010,Ohio,149254,22374,7666,2916,1253,4878976,794013,41271,123036,4466,160152,21192,8215,2890,1409,4672925,723243,38911,114043,4340
2011,Ohio,153891,23154,7873,3082,1282,4866458,798743,41624,127416,4573,164720,22121,8493,3023,1433,4665747,728334,39217,118345,4453
2012,Ohio,158682,23940,8123,3197,1338,4852575,803324,41874,131927,4646,169529,23053,8729,3179,1502,4659741,734158,39493,122943,4587
2013,Ohio,163754,24756,8337,3328,1351,4844709,810071,42344,137426,4740,174285,23993,9094,3348,1557,4657790,741524,39942,128139,4688
2014,Ohio,169105,25565,8561,3454,1401,4837245,816537,42669,143077,4862,179771,24901,9350,3509,1607,4655829,748561,40315,133828,4805
2010,Oklahoma,135875,8255,19435,2182,935,1402900,160889,234970,43127,3601,153615,8426,21095,2311,1041,1353931,158129,225778,39316,3662
2011,Oklahoma,141077,8551,20685,2268,953,1405262,162821,237178,44896,3727,158241,8648,22288,2390,1064,1357923,160399,227815,41083,3803
2012,Oklahoma,146449,8801,21620,2332,985,1409545,164847,239186,46983,3935,163244,8942,23333,2500,1089,1362675,162713,229694,43079,3983
2013,Oklahoma,152272,9170,22350,2432,1045,1415646,167721,241409,49307,4138,168681,9333,24049,2624,1127,1368876,166066,231788,45440,4182
2014,Oklahoma,156999,9435,22933,2487,1071,1418823,170417,243724,51543,4280,173316,9661,24614,2795,1154,1371852,169064,233817,47672,4365
2010,Oregon,196617,6721,17094,4825,1621,1584982,42674,45884,97374,11969,215158,7433,19269,4949,1832,1529668,47843,44279,84816,11806
2011,Oregon,201752,6908,17575,4968,1661,1591282,43697,46346,100729,12359,219486,7531,19571,5094,1888,1536228,49083,44600,87907,12173
