State,Year,wnhm,bnhm,ainhm,asnhm,pinhm,whm,bhm,aihm,ashm,pihm,wnhf,bnhf,ainhf,asnhf,pinhf,whf,bhf,aihf,ashf,pihf
Maryland,2003,"1,655,505","750,820","17,006","131,377","2,785","130,632","14,500","3,148","2,006",647,"1,734,246","854,073","18,714","140,684","2,969","117,425","15,062","2,893","2,086",588
Maryland,2002,"1,648,919","736,212","16,994","125,754","2,697","121,411","13,720","2,990","1,850",612,"1,728,270","838,701","18,651","134,575","2,883","109,765","14,376","2,756","1,959",552
Maryland,2001,"1,644,246","722,261","16,932","120,532","2,620","112,603","13,458","2,844","1,738",562,"1,724,445","823,908","18,655","129,161","2,799","102,166","14,116","2,631","1,812",505
Maryland,2000,"1,636,728","707,597","16,904","115,528","2,556","104,543","13,204","2,710","1,588",529,"1,718,493","807,461","18,534","123,922","2,728","95,327","13,932","2,533","1,654",468
Mississippi,2005,"865,487","509,871","9,632","12,446",846,"25,654","2,990",578,396,186,"893,523","572,036","10,360","13,320",857,"18,299","3,008",479,389,104
Mississippi,2004,"861,488","504,570","9,467","11,943",830,"24,460","3,037",564,368,190,"891,167","566,284","10,192","12,828",840,"17,369","3,032",458,379,98
Mississippi,2003,"857,292","499,177","9,207","11,474",807,"23,302","3,089",542,358,182,"888,925","561,234","9,898","12,405",809,"16,291","3,105",447,360,96
Mississippi,2002,"854,882","494,597","8,973","11,077",773,"21,888","3,147",514,343,169,"888,131","557,815","9,627","12,002",815,"15,138","3,184",426,345,88
Mississippi,2001,"854,459","490,821","8,814","10,657",769,"20,691","3,276",496,333,151,"889,194","554,898","9,418","11,714",790,"14,098","3,292",415,331,90
Mississippi,2000,"854,074","486,430","8,688","10,427",756,"19,278","3,385",478,329,155,"890,509","551,845","9,304","11,634",786,"13,100","3,421",406,323,89
Massachusetts,2005,"2,510,211","194,906","15,761","159,352","3,669","212,810","40,315","4,374","1,981","1,626","2,689,708","207,553","16,899","164,598","3,827","211,201","42,162","4,266","2,207","1,651"
Massachusetts,2004,"2,523,591","192,025","15,805","155,172","3,609","207,066","39,119","4,306","1,931","1,580","2,708,668","205,567","16,950","160,336","3,747","206,470","41,019","4,211","2,163","1,632"
Massachusetts,2003,"2,539,106","189,406","15,839","150,108","3,536","201,081","37,840","4,219","1,853","1,556","2,729,391","203,609","16,937","154,992","3,670","201,459","39,877","4,150","2,110","1,597"
Massachusetts,2002,"2,548,612","186,086","15,814","145,044","3,458","194,206","36,432","4,128","1,812","1,506","2,743,369","200,848","16,937","149,596","3,597","195,727","38,611","4,074","2,065","1,584"
Massachusetts,2001,"2,553,192","182,862","15,777","139,054","3,358","186,907","34,989","4,016","1,750","1,466","2,754,814","197,694","16,907","143,296","3,483","189,123","37,208","3,991","2,032","1,541"
Massachusetts,2000,"2,552,545","179,671","15,652","131,457","3,237","179,310","33,632","3,900","1,683","1,425","2,759,697","194,228","16,808","135,948","3,369","182,196","35,882","3,882","1,931","1,512"
Michigan,2005,"3,948,115","710,662","54,656","127,870","3,387","188,872","11,693","5,580","2,329",891,"4,062,099","789,548","56,710","127,465","3,397","166,122","11,790","5,234","2,230",766
Michigan,2004,"3,947,347","708,367","54,809","124,154","3,346","183,653","11,521","5,554","2,170",851,"4,064,429","787,195","56,989","123,817","3,341","161,899","11,664","5,204","2,097",725
Michigan,2003,"3,942,737","705,914","54,894","119,854","3,307","178,142","11,334","5,507","1,988",795,"4,064,354","783,883","57,158","119,407","3,283","157,473","11,542","5,197","1,934",676
Michigan,2002,"3,934,413","703,324","54,847","114,093","3,205","172,034","11,085","5,453","1,823",738,"4,059,664","780,471","57,256","113,769","3,202","152,454","11,364","5,170","1,759",616
