"","State","Year","Month","Quantity.sum","Acquisition.Value.sum","policeweapon_quantity.sum","policeweapon_totalcost.sum","policerecord_quantity.sum","policerecord_totalcost.sum","policeammo_quantity.sum","policeammo_totalcost.sum","policecar_quantity.sum","policecar_totalcost.sum","disaster_quantity.sum","disaster_totalcost.sum","medical_quantity.sum","medical_totalcost.sum","State","Year","Month","day.mean"
"195","Arizona","2012","June",27,319193,0,0,23,138000,0,0,0,0,0,0,0,0,"Arizona","2012","June",20.4444444444444
"196","Arizona","2012","July",129,638581.1,32,19439.34,95,536633.76,0,0,0,0,0,0,0,0,"Arizona","2012","July",20.5384615384615
"197","Arizona","2012","August",865,130354.5,62,2393.84,1,100,800,72.66,0,0,0,0,0,0,"Arizona","2012","August",20.7222222222222
"198","Arizona","2012","September",151,117981,133,14668,17,61319,0,0,0,0,0,0,0,0,"Arizona","2012","September",5.39130434782609
"199","Arizona","2012","October",766,36681.02,65,12732.19,4,15842,691,12.11,0,0,0,0,0,0,"Arizona","2012","October",10.6444444444444
"200","Arizona","2012","November",276,236259.05,115,37809.01,50,47376.4,100,24.22,0,0,0,0,0,0,"Arizona","2012","November",21.0522388059701
"201","Arizona","2012","December",300,171410,17,365.24,53,101192.42,200,24.22,0,0,0,0,0,0,"Arizona","2012","December",13.9090909090909
"202","Arizona","2013","January",1128,171048.17,149,15000.65,96,46784.6,300,24.22,0,0,0,0,0,0,"Arizona","2013","January",20.6324786324786
"203","Arizona","2013","February",1843,134344.67,91,23563.26,378,299.16,448,12.11,0,0,0,0,0,0,"Arizona","2013","February",11.3766233766234
"204","Arizona","2013","March",1024,287110.72,105,32882.58,211,11106.82,250,14.98,0,0,0,0,0,0,"Arizona","2013","March",20.5174418604651
"205","Arizona","2013","April",4885,95933.49,137,31495,11,11543.12,3464,36.33,0,0,0,0,0,0,"Arizona","2013","April",26.376
"206","Arizona","2013","May",420,231181.04,41,104.5,57,43220.05,0,0,0,0,0,0,2,59.7,"Arizona","2013","May",20.5522388059701
"207","Arizona","2013","June",4797,9144.88,24,521.9,18,3917,2002,36.33,0,0,0,0,28,406.03,"Arizona","2013","June",12.2407407407407
"208","Arizona","2013","July",957,100659.75,96,789.75,27,3040,0,0,0,0,0,0,0,0,"Arizona","2013","July",19.1304347826087
"209","Arizona","2013","August",93,713723.23,3,658460.99,37,4582,0,0,0,0,0,0,0,0,"Arizona","2013","August",17.9230769230769
"210","Arizona","2013","September",1153,1426012.95,18,1321296,4,187.56,0,0,0,0,0,0,0,0,"Arizona","2013","September",16.275
