"","State","Year","Month","civil_noninstitutionalpop","laborforce","percentlaborforce","totalemploy","peremploy","totalunemploy","unemployrate"
"14283","Mississippi","1998","June",2067393,1274074,61.6,1206873,58.4,67201,5.3
"14284","Missouri","1998","June",4162319,2920174,70.2,2794623,67.1,125551,4.3
"14285","Montana","1998","June",675559,459370,68,434067,64.3,25303,5.5
"14286","Nebraska","1998","June",1265863,930067,73.5,906805,71.6,23262,2.5
"14287","Nevada","1998","June",1411413,976917,69.2,934774,66.2,42143,4.3
"14288","New Hampshire","1998","June",919764,660269,71.8,642132,69.8,18137,2.7
"14289","New Jersey","1998","June",6349180,4239085,66.8,4046682,63.7,192403,4.5
"14290","New Mexico","1998","June",1316648,835615,63.5,784386,59.6,51229,6.1
"14291","New York","1998","June",14378250,9056331,63,8556612,59.5,499719,5.5
"14294","North Dakota","1998","June",486342,349975,72,340085,69.9,9890,2.8
"14295","Ohio","1998","June",8571797,5702288,66.5,5457555,63.7,244733,4.3
"14296","Oklahoma","1998","June",2533257,1637093,64.6,1564777,61.8,72316,4.4
"14297","Oregon","1998","June",2579591,1778432,68.9,1676130,65,102302,5.8
"14298","Pennsylvania","1998","June",9436222,6053764,64.2,5777021,61.2,276743,4.6
"14299","Rhode Island","1998","June",800803,532132,66.4,507552,63.4,24580,4.6
"14300","South Carolina","1998","June",2943753,1938305,65.8,1867198,63.4,71107,3.7
"14301","South Dakota","1998","June",551061,398822,72.4,387762,70.4,11060,2.8
"14302","Tennessee","1998","June",4270698,2807314,65.7,2686833,62.9,120481,4.3
"14303","Texas","1998","June",14623338,10095594,69,9599887,65.6,495707,4.9
"14304","Utah","1998","June",1523739,1099588,72.2,1059075,69.5,40513,3.7
"14305","Vermont","1998","June",463486,333555,72,322162,69.5,11393,3.4
"14306","Virginia","1998","June",5166020,3480184,67.4,3380831,65.4,99353,2.9
"14307","Washington","1998","June",4345807,3042461,70,2899245,66.7,143216,4.7
"14308","West Virginia","1998","June",1434402,795301,55.4,741813,51.7,53488,6.7
"14309","Wisconsin","1998","June",4012460,2970047,74,2872711,71.6,97336,3.3
"14310","Wyoming","1998","June",367191,257563,70.1,245438,66.8,12125,4.7
"14311","Alabama","1998","July",3344615,2139606,64,2044411,61.1,95195,4.4
"14312","Alaska","1998","July",426112,315675,74.1,295632,69.4,20043,6.3
"14313","Arizona","1998","July",3684730,2389211,64.8,2287939,62.1,101272,4.2
"14314","Arkansas","1998","July",1981413,1240387,62.6,1176884,59.4,63503,5.1
"14315","California","1998","July",24286428,16161206,66.5,15198330,62.6,962876,6
"14317","Colorado","1998","July",3111683,2317643,74.5,2231830,71.7,85813,3.7
"14318","Connecticut","1998","July",2572697,1741096,67.7,1682684,65.4,58412,3.4
"14319","Delaware","1998","July",581835,396077,68.1,380941,65.5,15136,3.8
"14320","District of Columbia","1998","July",452657,292301,64.6,267442,59.1,24859,8.5
"14321","Florida","1998","July",12065588,7524288,62.4,7201435,59.7,322853,4.3
"14322","Georgia","1998","July",5857120,4075962,69.6,3902057,66.6,173905,4.3
"14323","Hawaii","1998","July",896509,602770,67.2,565374,63.1,37396,6.2
"14324","Idaho","1998","July",917013,649777,70.9,616864,67.3,32913,5.1
"14325","Illinois","1998","July",9232638,6341418,68.7,6067107,65.7,274311,4.3
"14326","Indiana","1998","July",4539441,3119504,68.7,3025664,66.7,93840,3
"14327","Iowa","1998","July",2213794,1594049,72,1550432,70,43617,2.7
"14328","Kansas","1998","July",1975217,1419556,71.9,1368614,69.3,50942,3.6
"14329","Kentucky","1998","July",3036127,1935634,63.8,1845344,60.8,90290,4.7
"14330","Louisiana","1998","July",3263193,2058324,63.1,1935804,59.3,122520,6
"14331","Maine","1998","July",975614,652119,66.8,623054,63.9,29065,4.5
"14332","Maryland","1998","July",3918941,2764282,70.5,2642102,67.4,122180,4.4
"14333","Massachusetts","1998","July",4854977,3339545,68.8,3232018,66.6,107527,3.2
"14334","Michigan","1998","July",7432076,4978013,67,4741819,63.8,236194,4.7
"14335","Minnesota","1998","July",3625561,2711907,74.8,2640754,72.8,71153,2.6
"14336","Mississippi","1998","July",2068495,1274465,61.6,1207281,58.4,67184,5.3
"14337","Missouri","1998","July",4164900,2919115,70.1,2795966,67.1,123149,4.2
"14338","Montana","1998","July",676526,460223,68,434881,64.3,25342,5.5
"14339","Nebraska","1998","July",1266107,931417,73.6,907615,71.7,23802,2.6
"14340","Nevada","1998","July",1416338,981092,69.3,939691,66.3,41401,4.2
"14341","New Hampshire","1998","July",920859,661320,71.8,643102,69.8,18218,2.8
"14342","New Jersey","1998","July",6354358,4237155,66.7,4048717,63.7,188438,4.4
"14343","New Mexico","1998","July",1317860,835471,63.4,784385,59.5,51086,6.1
"14344","New York","1998","July",14386331,9063896,63,8567053,59.5,496843,5.5
"14347","North Dakota","1998","July",486414,349622,71.9,339414,69.8,10208,2.9
"14348","Ohio","1998","July",8573726,5708129,66.6,5459476,63.7,248653,4.4
"14349","Oklahoma","1998","July",2535445,1640002,64.7,1566781,61.8,73221,4.5
"14350","Oregon","1998","July",2582861,1780409,68.9,1676809,64.9,103600,5.8
"14351","Pennsylvania","1998","July",9437832,6054268,64.1,5776702,61.2,277566,4.6
"14352","Rhode Island","1998","July",801291,532452,66.4,508266,63.4,24186,4.5
"14353","South Carolina","1998","July",2947731,1944605,66,1870970,63.5,73635,3.8
